epoch,accuracy,loss,val_accuracy,val_loss
0,0.37088292837142944,1.3239765167236328,0.4207492768764496,1.2704429626464844
1,0.6507058143615723,0.9888569116592407,0.6426513195037842,0.9096100926399231
2,0.7979518175125122,0.594128429889679,0.7060518860816956,0.7522847652435303
3,0.8516468405723572,0.4187183976173401,0.7262247800827026,0.7868208289146423
4,0.8804317712783813,0.33602118492126465,0.6916426420211792,0.8077466487884521
5,0.9028508067131042,0.2780569791793823,0.7002881765365601,0.8466188907623291
6,0.9247162938117981,0.22637782990932465,0.7002881765365601,0.9113782644271851
7,0.9335731863975525,0.19597811996936798,0.6829971075057983,0.9475094079971313
8,0.9535012245178223,0.15705588459968567,0.7031700015068054,0.9895455837249756
9,0.9587600231170654,0.13885261118412018,0.6887608170509338,1.0857340097427368
10,0.9604207277297974,0.1267434060573578,0.7031700015068054,1.1267815828323364
11,0.9684472680091858,0.11189460009336472,0.680115282535553,1.1679290533065796
12,0.9690008163452148,0.10173429548740387,0.680115282535553,1.2259724140167236
13,0.9709382653236389,0.0948590636253357,0.7002881765365601,1.2366682291030884
14,0.972045361995697,0.09097810834646225,0.6772334575653076,1.3127316236495972
15,0.973706066608429,0.08923150599002838,0.6916426420211792,1.3358371257781982
16,0.9739828109741211,0.08325771987438202,0.6772334575653076,1.3286527395248413
17,0.9753667116165161,0.0784350261092186,0.6657060384750366,1.3659775257110596
18,0.977027416229248,0.07163522392511368,0.6743515729904175,1.3790576457977295
19,0.977027416229248,0.06996375322341919,0.6829971075057983,1.4164258241653442
20,0.9761970639228821,0.07208439707756042,0.6685879230499268,1.4119848012924194
21,0.9767506122589111,0.06710408627986908,0.6685879230499268,1.4593034982681274
22,0.977027416229248,0.06799674779176712,0.6685879230499268,1.4541850090026855
23,0.9781345129013062,0.05955815687775612,0.6743515729904175,1.5202984809875488
24,0.9800719618797302,0.058839742094278336,0.6829971075057983,1.5279850959777832
